Dataset,Method,PRE_RESIZE_WNS,PRE_RESIZE_TNS,POST_RESIZE_WNS,POST_RESIZE_TNS,Congestion,GRT_WL,GRT_WNS,GRT_TNS,DRT_WL,Final_WNS,Final_TNS,Power,#overflow,NVP,Die Area,Cell Area,#Macro,#Cells,Util,#Net
swerv_wrapper,2D,-160.75,-1717945.00,-1.45,-1201.81,0.3544,5137524.0,-1.04099,-851.751,4370521.0,-1.11094,-953.16,0.242604,3177.0,1498.0,1100000.0,212410.0,28.0,89141.0,0.646994,104863.0
swerv_wrapper,2D_dmp,-169.52,-1812491.38,-1.56,-1174.78,0.4498,6495390.0,-1.68798,-1276.88,5542078.0,-1.85608,-1429.9,0.253932,9540.0,1605.0,1100000.0,221279.0,28.0,89273.0,0.655388,104993.0
swerv_wrapper,2D_mp,-169.30,-1769531.12,-1.94,-1725.98,0.4548,6560116.0,-1.90752,-1683.67,5617086.0,-2.13858,-1975.79,0.250363,14428.0,1883.0,1100000.0,221246.0,28.0,89411.0,0.655356,105141.0
swerv_wrapper,3D,,,,,0.1628,4193889.0,-1.2537,-962.151,3626295.0,-1.26382,-972.795,0.231593,0.0,1407.0,560000.0,204675.0,28.0,87919.0,1.24242,103656.0
,,,,,,,,,,,,,,,,,,,,,
bp_quad,2D,-1110.48,-9020510.00,-2.16,-29512.60,0.2658,53022461.0,-2.33994,-31925.9,44924654.0,-2.78029,-35746.6,1.81485,3370.0,52942.0,12960000.0,2649110.0,220.0,1080908.0,0.412808,1335633.0
bp_quad,2D_dmp,-1160.66,-8557353.00,-1.69,-26591.69,0.2484,50319969.0,-1.8557,-27521.1,41994318.0,-2.04961,-31231.9,1.84835,3968.0,54864.0,12960000.0,2648130.0,220.0,1083459.0,0.412731,1337623.0
bp_quad,2D_mp,-1898.35,-9979266.00,-2.94,-34358.51,0.276,55023036.0,-3.17409,-33767.3,46632358.0,-3.66207,-39020.0,1.82185,3429.0,56412.0,12960000.0,2657530.0,220.0,1085140.0,0.413466,1339879.0
bp_quad,3D,,,,,0.17120000000000002,56784153.0,-2.79451,-33312.4,50187987.0,-2.61926,-31124.7,1.83634,0.0,50745.0,6250000.0,2708800.0,220.0,1095656.0,0.863521,1349523.0
,,,,,,,,,,,,,,,,,,,,,
bp_fe,2D,-54.17,-94528.85,-1.30,-365.95,0.31579999999999997,2024320.0,-0.899901,-513.112,1797718.0,-0.923364,-577.749,0.298263,5.0,2314.0,480000.0,67251.2,11.0,31273.0,0.506205,37548.0
bp_fe,2D_dmp,-30.11,-72195.35,-1.40,-691.98,0.3044,1983263.0,-1.45323,-882.49,1734579.0,,,,30.0,,,,,,,36310.0
bp_fe,2D_mp,-46.39,-89322.16,-1.32,-629.46,0.31739999999999996,2056479.0,-1.31583,-844.583,1806592.0,-1.39398,-942.359,0.302163,6.0,2624.0,480000.0,67418.2,11.0,30030.0,0.506576,36285.0
bp_fe,3D,,,,,0.1356,1560419.0,-1.54066,-756.397,1383448.0,-1.52591,-729.424,0.284166,0.0,2460.0,240000.0,63826.7,11.0,29699.0,1.02558,35988.0
,,,,,,,,,,,,,,,,,,,,,
ariane133,2D,-32.85,-214244.00,-1.23,-2734.11,0.2211,7778376.0,-0.204529,-128.18,6535071.0,-0.341954,-313.771,0.365497,11.0,1926.0,2250000.0,364201.0,132.0,155558.0,0.378336,185992.0
ariane133,2D_dmp,-46.81,-307965.84,-1.50,-3559.68,0.24,8746319.0,-1.49592,-3493.39,7175295.0,-1.69215,-4098.04,0.388653,112.0,3456.0,2250000.0,369608.0,132.0,154778.0,0.380956,185113.0
ariane133,2D_mp,-41.58,-269591.50,-1.80,-4519.55,0.2768,9800727.0,-1.80619,-4654.78,8200390.0,-2.1784,-5766.41,0.39345,132.0,3462.0,2250000.0,375522.0,132.0,155832.0,0.383823,186206.0
ariane133,3D,,,,,0.1191,6670773.0,,,5587887.0,-1.34207,-2648.76,0.360324,0.0,3437.0,1000000.0,357885.0,132.0,154183.0,0.792552,184552.0
,,,,,,,,,,,,,,,,,,,,,
bp_be,2D,-32.15,-79336.48,-0.49,-39.81,0.4139,3289435.0,-0.308308,-22.7374,2910458.0,-0.456049,-49.049,0.15161,121.0,213.0,560000.0,113783.0,10.0,48738.0,0.487786,59444.0
bp_be,2D_dmp,,,,,0.40509999999999996,3263593.0,,,2847113.0,-1.52059,-369.19,3.84734,139.0,468.0,560000.0,113935.0,10.0,48435.0,0.488073,59140.0
bp_be,2D_mp,-47.79,-97199.50,-1.35,-357.80,0.4266,3426166.0,-1.6925,-427.393,2996958.0,-1.88256,-523.273,0.152471,30.0,863.0,560000.0,114529.0,10.0,48479.0,0.489197,59180.0
bp_be,3D,,,,,0.17300000000000001,2721167.0,,,2418195.0,-0.886012,-108.894,0.144032,0.0,329.0,300000.0,111549.0,10.0,48164.0,0.886652,58880.0
,,,,,,,,,,,,,,,,,,,,,
bp_multi,2D,-250.19,-506939.16,-7.09,-11887.31,0.3293,5780772.0,-6.09176,-9825.63,4945485.0,-6.11141,-10603.2,1.08887,19.0,17066.0,1210000.0,234634.0,26.0,131379.0,0.48698,152970.0
bp_multi,2D_dmp,-199.02,-617960.75,-7.71,-15001.04,0.37420000000000003,6733022.0,-7.95492,-10116.0,5627147.0,-8.29854,-10946.2,1.12577,9.0,17759.0,1210000.0,237770.0,26.0,131710.0,0.489671,153173.0
bp_multi,2D_mp,-261.05,-631270.62,-7.59,-15295.45,0.4127,7321805.0,-7.63845,-10964.8,6203825.0,-7.97454,-12072.1,1.14341,36.0,16711.0,1210000.0,239293.0,26.0,131763.0,0.490978,153286.0
bp_multi,3D,,,,,0.1405,4697595.0,-6.88052,-10141.3,4059528.0,-7.00884,-9246.7,1.06169,0.0,16295.0,640000.0,229625.0,26.0,130825.0,0.902057,152373.0
,,,,,,,,,,,,,,,,,,,,,
bp,2D,-591.76,-2136564.00,-5.54,-4215.69,0.3899,10806314.0,-4.75072,-2285.45,9045069.0,-4.75602,-2835.03,0.386034,32.0,7184.0,1755000.0,497302.0,24.0,293946.0,0.485758,334716.0
bp,2D_dmp,-690.95,-3528313.50,-6.08,-6520.96,0.5275,14662981.0,-6.30143,-4383.42,12237011.0,-6.56592,-5268.85,0.398601,334.0,6254.0,1755000.0,507562.0,24.0,296443.0,0.491794,337128.0
bp,2D_mp,-803.05,-3161716.25,-6.34,-7007.52,0.535,14846189.0,-6.56849,-5075.96,12419437.0,-6.95592,-6289.17,0.397657,68.0,8229.0,1755000.0,507741.0,24.0,296104.0,0.4919,336831.0
bp,3D,,,,,0.20980000000000001,9405379.0,-5.66788,-2517.86,8081422.0,-5.76127,-2251.3,0.376464,0.0,5245.0,810000.0,488671.0,24.0,293679.0,1.03455,334351.0
,,,,,,,,,,,,,,,,,,,,,
ariane136,2D,-105.80,-2240633.00,-1.98,-5018.52,0.23620000000000002,8256351.0,-1.38245,-3807.1,6956248.0,-1.47208,-4103.58,0.475444,2.0,6100.0,2250000.0,375129.0,136.0,161487.0,0.389748,191859.0
ariane136,2D_dmp,-93.67,-1857578.25,-2.45,-6897.20,0.2641,9423815.0,-2.42891,-6631.09,7798147.0,-2.71209,-7561.23,0.507513,148.0,4737.0,2250000.0,380263.0,136.0,159226.0,0.392237,189485.0
