Design,Methods,1_1_yosys,2_1_floorplan,2_2_floorplan_io,2_4_floorplan_macro,DMP_GP,2_6_floorplan_pdn,3_4_place_resized,3_5_place_dp,4_1_cts,4_2_cts_fillcell,5_1_grt,5_2_route,6_report,thermal
bp_quad,Open3D-Tiling,785.18,294.47,9.78,,,24.43,1014.0,64.37,311.64,9.15,705.97,2711.57,1118.75,
ariane136,Open3D-Tiling,606.29,77.18,1.53,,,3.6,218.32,11.15,45.53,1.69,126.09,354.09000000000003,173.82,
bp_fe,Open3D-Tiling,49.3,9.65,0.61,,,1.0,31.57,2.19,9.28,0.72,23.56,196.63,29.16,
bp_multi,Open3D-Tiling,144.04,32.68,1.75,,,3.28,106.75,8.1,29.97,1.46,76.68,249.01,108.61,
swerv_wrapper,Open3D-Tiling,366.0,39.74,1.0,,,1.99,112.7,6.6,27.41,1.12,88.08,1235.45,110.62,
bp_be,Open3D-Tiling,504.99,104.86,1.79,,,1.48,55.69,3.78,16.91,1.11,44.34,142.96,53.67,
bp,Open3D-Tiling,289.08,69.87,2.72,,,7.2,218.97,16.65,62.13,2.81,130.55,614.33,250.01,
ariane133,Open3D-Tiling,577.36,64.46,1.48,,,3.41,205.89,11.15,44.24,1.69,116.72,363.26,168.06,
bp_quad,Open3D-DMP,785.18,294.47,9.78,,,25.75,1044.6,64.19,310.22,9.36,689.22,2612.19,1111.17,
ariane136,Open3D-DMP,606.29,77.18,1.53,,,3.64,216.57,11.16,44.85,1.67,126.92,378.59,173.62,
bp_fe,Open3D-DMP,49.3,9.65,0.61,,,0.98,30.92,2.2,9.09,0.72,22.41,142.81,28.19,
bp_multi,Open3D-DMP,144.04,32.68,1.75,,,3.22,107.57,8.03,29.94,1.52,75.12,264.9,107.86,
swerv_wrapper,Open3D-DMP,366.0,39.74,1.0,,,1.97,116.09,6.56,27.45,1.09,77.66,860.37,100.31,
bp_be,Open3D-DMP,504.99,104.86,1.79,,,1.46,56.69,3.48,15.44,1.0,45.37,158.53,55.43,
bp,Open3D-DMP,289.08,69.87,2.72,,,7.38,217.86,16.22,61.58,2.94,129.88,598.26,249.44,
ariane133,Open3D-DMP,577.36,64.46,1.48,,,3.61,203.1,11.15,43.4,1.53,118.75999999999999,348.89,160.84,
bp_quad,2D-DMP,785.18,294.47,9.78,,,39.59,1179.7,67.89,391.22,9.38,645.7,1068.07,1058.34,
ariane136,2D-DMP,606.29,77.18,1.53,,,6.53,245.76,15.49,73.13,3.96,134.67,223.02,199.03,
bp_fe,2D-DMP,49.3,9.65,0.61,,,0.95,32.72,1.94,9.9,0.52,19.98,36.13,27.61,
bp_multi,2D-DMP,144.04,32.68,1.75,,,3.31,115.66,7.87,33.77,1.23,74.07,120.17,126.97,
swerv_wrapper,2D-DMP,366.0,39.74,1.0,,,2.11,130.2,9.93,39.08,0.86,86.83,159.36,108.92,
bp_be,2D-DMP,504.99,104.86,1.79,,,1.4,58.75,3.35,16.04,0.81,39.49,51.51,50.85,
bp,2D-DMP,289.08,69.87,2.72,,,7.76,274.74,17.49,70.12,2.75,158.59,285.48,321.0,
ariane133,2D-DMP,577.36,64.46,1.48,,,4.84,227.38,10.74,48.32,1.31,123.48,189.12,182.24,
bp_quad,2D-RTLMP,785.18,294.47,9.78,1270.37,,50.21,1136.59,65.72,347.62,8.62,614.61,1293.62,1548.25,
ariane136,2D-RTLMP,606.29,77.18,1.53,3.39,,8.13,254.21,11.52,51.66,1.54,161.06,273.40999999999997,198.6,
bp_fe,2D-RTLMP,49.3,9.65,0.61,227.3,,0.9,32.99,2.25,9.9,0.51,20.3,35.6,27.34,
bp_multi,2D-RTLMP,144.04,32.68,1.75,1.85,,3.44,135.46,14.37,43.01,3.65,115.17,145.49,126.88,
swerv_wrapper,2D-RTLMP,366.0,39.74,1.0,38.72,,2.43,145.62,6.07,31.72,0.88,85.87,209.06,160.74,
bp_be,2D-RTLMP,504.99,104.86,1.79,125.71,,1.58,85.05,3.63,15.53,0.8,62.88,58.78,52.52,
bp,2D-RTLMP,289.08,69.87,2.72,3.78,,8.08,232.35,16.94,69.64,2.72,175.19,430.52,379.59,
ariane133,2D-RTLMP,577.36,64.46,1.48,1997.49,,6.3,245.11,11.28,49.66,1.38,149.86,273.44,190.5,
